map_name,key,value
MODEL_NAME_MAP,claude-3-7-sonnet-20250219,claude-3-7-sonnet-2025-02-19
MODEL_NAME_MAP,claude-3-7-sonnet-20250219 high,claude-3-7-sonnet-2025-02-19 high
MODEL_NAME_MAP,together_ai/deepseek-ai/DeepSeek-R1,deepseek-ai/DeepSeek-R1
MODEL_NAME_MAP,openai/gpt-4.1-2025-04-14,gpt-4.1-2025-04-14
MODEL_NAME_MAP,together_ai/deepseek-ai/DeepSeek-V3,deepseek-ai/DeepSeek-V3
MODEL_NAME_MAP,gemini/gemini-2.0-flash,gemini-2.0-flash
MODEL_NAME_MAP,o4-mini-2025-04-16 medium,o4-mini-2025-04-16
MODEL_NAME_MAP,gpt-4.1,gpt-4.1-2025-04-14
MODEL_NAME_MAP,claude-3-7-sonnet-20250219 low,claude-3-7-sonnet-2025-02-19 low
MODEL_NAME_MAP,anthropic/claude-3-7-sonnet-20250219,claude-3-7-sonnet-2025-02-19
MODEL_NAME_MAP,openai/o3-2025-04-16 low,o3-2025-04-16 low
MODEL_NAME_MAP,openai/o4-mini-2025-04-16,o4-mini-2025-04-16
MODEL_NAME_MAP,openai/o4-mini-2025-04-16 low,o4-mini-2025-04-16 low
MODEL_NAME_MAP,openai/o4-mini-2025-04-16 high,o4-mini-2025-04-16 high
MODEL_NAME_MAP,openai/o3-2025-04-16,o3-2025-04-16
MODEL_NAME_MAP,o3-2025-04-16 medium,o3-2025-04-16
MODEL_NAME_MAP,openai/o3-mini-2025-01-31 low,o3-mini-2025-01-31 low
MODEL_NAME_MAP,anthropic/claude-3-7-sonnet-20250219 low,claude-3-7-sonnet-2025-02-19 low
MODEL_NAME_MAP,anthropic/claude-3-7-sonnet-20250219 high,claude-3-7-sonnet-2025-02-19 high
MODEL_NAME_MAP,o3-2025-04-03,o3-2025-04-16
AGENT_NAME_MAP,taubench_fewshot_o320250403,TAU-bench FewShot (o3-2025-04-03)
AGENT_NAME_MAP,taubench_fewshot_o3mini20250131_high,TAU-bench FewShot (o3-mini-2025-01-31)
AGENT_NAME_MAP,usaco_episodic__semantic_o3mini20250131_high,USACO Episodic + Semantic (o3-mini-2025-01-31 high)
AGENT_NAME_MAP,usaco_episodic__semantic_deepseekaideepseekr1,USACO Episodic + Semantic (deepseek-ai/DeepSeek-R1)
AGENT_NAME_MAP,usaco_episodic__semantic_gpt4120250414,USACO Episodic + Semantic (gpt-4.1-2025-04-14)
AGENT_NAME_MAP,usaco_episodic__semantic_o3mini20250131_low,USACO Episodic + Semantic (o3-mini-2025-01-31 low)
AGENT_NAME_MAP,usaco_episodic__semantic_deepseekaideepseekv3,USACO Episodic + Semantic (deepseek-ai/DeepSeek-V3)
AGENT_NAME_MAP,hal_generalist_agent_o3mini20250131_high,HAL Generalist Agent (o3-mini-2025-01-31 high)
AGENT_NAME_MAP,My Agent(o3-mini),SWE-Agent (o3-mini)
AGENT_NAME_MAP,My Agent(gemini/gemini-2.0-flash),SWE-Agent (gemini-2.0-flash)
AGENT_NAME_MAP,hal_generalist_agent_gemini20flash,HAL Generalist Agent (gemini-2.0-flash)
AGENT_NAME_MAP,My Agent(claude-3-7-sonnet-20250219),SWE-Agent (claude-3-7-sonnet-2025-02-19)
AGENT_NAME_MAP,My Agent(o3-2025-04-16),SWE-Agent (o3-2025-04-16)
AGENT_NAME_MAP,My Agent(gpt-4o),SWE-Agent (gpt-4o)
AGENT_NAME_MAP,hal_generalist_agent_deepseekaideepseekv3,HAL Generalist Agent (deepseek-ai/DeepSeek-V3)
AGENT_NAME_MAP,hal_generalist_agent_deepseekaideepseekr1,HAL Generalist Agent (deepseek-ai/DeepSeek-R1)
AGENT_NAME_MAP,My Agent(o4-mini-2025-04-16),SWE-Agent (o4-mini-2025-04-16)
AGENT_NAME_MAP,my_agenttogether_aideepseekaideepseekv3,SWE-Agent (deepseek-ai/DeepSeek-V3)
AGENT_NAME_MAP,My Agent(o1),SWE-Agent (o1)
AGENT_NAME_MAP,hal_generalist_agent_o3mini20250131_low,HAL Generalist Agent (o3-mini-2025-01-31 low)
AGENT_NAME_MAP,My Agent(together_ai/deepseek-ai/DeepSeek-R1),SWE-Agent (deepseek-ai/DeepSeek-R1)
AGENT_NAME_MAP,My Agent(gpt-4.1),SWE-Agent (gpt-4.1)
AGENT_NAME_MAP,colbench_text_o4mini,Col-bench Text (o4-mini-2025-04-16 low)
AGENT_NAME_MAP,colbench_text_gemmini2flash,Col-bench Text (gemini-2.0-flash)
AGENT_NAME_MAP,colbench_text_gpt41,Col-bench Text (gpt-4.1-2025-04-14)
AGENT_NAME_MAP,colbench_text_sonnet37,Col-bench Text (claude-3-7-sonnet-2025-02-19 low)
AGENT_NAME_MAP,colbench_text_deepseekr1,Col-bench Text (deepseek-ai/DeepSeek-R1)
AGENT_NAME_MAP,colbench_text_deepseekv3,Col-bench Text (deepseek-ai/DeepSeek-V3)
AGENT_NAME_MAP,colbench_text_gemini,Col-bench Text (gemini-2.0-flash)
AGENT_NAME_MAP,colbench_text_sonnet,Col-bench Text (claude-3-7-sonnet-2025-02-19)
AGENT_NAME_MAP,colbench_text_o4minilow,Col-bench Text (o4-mini-2025-04-16 low)
AGENT_NAME_MAP,colbench_text_o4minimedium,Col-bench Text (o4-mini-2025-04-16 medium)
AGENT_NAME_MAP,colbench_text_o4minihigh,Col-bench Text (o4-mini-2025-04-16 high)
AGENT_NAME_MAP,SAB Self-Debug o3 medium,SAB Example Agent (o3-2025-04-16)
AGENT_NAME_MAP,SAB Self-Debug Claude-3-7,SAB Example Agent (claude-3-7-sonnet-2025-02-19)
AGENT_NAME_MAP,SAB Self-Debug o4-mini low,SAB Example Agent (o4-mini-2025-04-16 low)
AGENT_NAME_MAP,SAB Self-Debug gemini-2-0-flash,SAB Example Agent (gemini-2.0-flash)
AGENT_NAME_MAP,SAB Self-Debug Claude-3-7 high,SAB Example Agent (claude-3-7-sonnet-2025-02-19 high)
AGENT_NAME_MAP,sab_selfdebug_gpt_41,SAB Example Agent (gpt-4.1-2025-04-14)
AGENT_NAME_MAP,SAB Self-Debug DS-V3,SAB Example Agent (deepseek-ai/DeepSeek-V3)
AGENT_NAME_MAP,SAB Self-Debug Claude-3-7 low,SAB Example Agent (claude-3-7-sonnet-2025-02-19 low)
AGENT_NAME_MAP,SAB Self-Debug o4-mini high,SAB Example Agent (o4-mini-2025-04-16 high)
AGENT_NAME_MAP,sab_selfdebug_dsr1,SAB Example Agent (deepseek-ai/DeepSeek-R1)
AGENT_NAME_MAP,SAB Self-Debug gemini-2-5-pro,SAB Example Agent (gemini-2.5-pro-preview)
AGENT_NAME_MAP,coreagent,CORE-Agent
AGENT_NAME_MAP,Browser-Use_test(DeepSeek-R1),Browser-Use(DeepSeek-R1)
AGENT_NAME_MAP,Browser-Use_test(claude-3-7-sonnet-20250219),Browser-Use(claude-3-7-sonnet-20250219)
AGENT_NAME_MAP,Browser-Use_test(DeepSeek-V3),Browser-Use(DeepSeek-V3)
AGENT_NAME_SHORT_MAP,Hal Generalist Agent,HAL Generalist Agent
